64,1,123,4,6,11,6,1,49,0,11,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,57,0,7,242,-1
47,5,160,29,6,11,6,0,284,0,11,0.8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,23,273,-1
37,5,77,18,5,9,5,0,40,6,9,0.7,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,0,8,233,-1
34,5,76,21,6,11,6,1,36,3,11,0.6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,8,252,-1
29,4,92,13,6,9,6,0,17,0,9,0.5,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,0,5,261,-1
37,3,138,5,5,8,5,5,172,0,8,0.6,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,0,11,273,-1
43,4,102,7,7,13,7,3,76,0,13,0.7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,43,0,0,254,-1
37,5,48,20,7,15,6,4,15,3,15,0.7,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,0,0,223,-1
34,4,50,14,5,8,5,0,15,2,8,0.6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,0,4,220,-1
21,3,26,10,5,8,5,0,9,0,8,0.4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,2,208,-1
38,7,65,17,6,8,6,15,32,1,8,0.7,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,0,3,218,-1
55,5,74,25,6,11,6,6,50,0,11,100,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51,0,4,225,-1
67,7,157,34,6,12,6,3,164,6,12,1.2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,0,29,254,-1
74,6,163,18,6,12,6,1,132,0,12,1.3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45,0,29,245,-1
